Census Tract Id (Geoid),Total Population,Percent White,Percent Hispanic,Percent Forest Cover,Trees Per Capita,Public School Ratio,Schools Per Capita
12031013904,4925,78.0,1.1,2.64,0.20981438475401257,1.0,0.0004060913705583756
12015010302,4924,67.9,4.7,5.1,1.9477352377342676,1.0,0.0008123476848090983
12101030304,4924,81.7,1.3,0.56,0.13116062206964763,,0.0
12015020302,4924,79.3,0.6,0.06,0.016395077758705953,1.0,0.0010154346060113728
12057010212,4921,58.1,1.1,1.88,0.2493571054327973,0.6666666666666666,0.000609632188579557
12023110602,4920,79.0,1.6,31.13,84.18497341706785,1.0,0.0004065040650406504
12057012503,4918,71.8,0.1,2.4,0.44649017292419946,,0.0
12033003308,4918,67.5,1.4,17.65,6.221315277142338,1.0,0.00040666937779585197
12069030206,4917,36.2,1.0,3.13,0.8340556507017491,,0.0
12011010615,4914,63.2,0.6,1.44,0.1281418458474097,1.0,0.0002035002035002035
12095013201,4914,40.4,4.1,0.95,0.09857065065185364,0.4,0.0010175010175010174
12103024510,4913,49.9,3.8,0.03,0.003286357129406396,1.0,0.0004070832485243232
12086010193,4913,39.9,0.8,0.0,0.0,,0.0
12061050707,4913,76.8,0.9,3.37,1.3079701375037458,,0.0
12099002005,4913,26.3,0.8,0.0,0.0,0.0,0.0002035416242621616
12103025401,4912,78.6,0.4,1.46,0.15120320409845006,1.0,0.00020358306188925082
12057007200,4911,67.8,4.3,0.68,0.13479551530191786,1.0,0.00020362451639177357
12099007610,4910,81.9,0.0,0.0,0.0,0.5,0.0004073319755600815
12039020101,4909,70.4,1.1,44.68,200.46010222228537,0.0,0.00020370747606437156
12113010712,4906,86.3,2.1,26.64,9.086578512937622,1.0,0.00040766408479412964
12115002741,4906,73.1,4.0,0.07,0.019746277101639165,1.0,0.00020383204239706482
12031014331,4906,53.2,1.4,0.08,0.009873138550819583,0.0,0.00040766408479412964
12021010435,4905,94.5,0.3,0.0,0.0,1.0,0.00040774719673802244
12086008315,4904,6.6,0.0,0.0,0.0,1.0,0.0004078303425774878
12053040910,4904,81.0,4.2,35.14,34.45484431401631,,0.0
12095014502,4902,13.6,0.2,0.35,0.016468658279042866,,0.0
12011060211,4901,39.9,0.2,0.0,0.0,,0.0
12057013320,4900,53.8,0.8,2.58,0.2042947142367275,,0.0
12086010208,4899,24.9,1.3,0.0,0.0,0.0,0.0004082465809348847
12099003802,4899,48.4,0.0,1.16,0.1680831805297928,1.0,0.0004082465809348847
12097043203,4897,54.8,1.5,0.11,0.01648547332731634,0.5,0.0004084133142740453
12001000600,4896,3.1,0.2,43.04,11.970898172730445,1.0,0.0014297385620915032
12071050106,4896,91.3,1.1,0.05,0.019786608549967676,0.6666666666666666,0.0006127450980392157
12099007008,4894,74.8,0.5,0.0,0.0,0.0,0.0006129955046996322
12086015002,4893,40.1,0.0,0.0,0.0,0.0,0.0004087471898630697
12111382123,4892,46.9,0.4,0.0,0.0,,0.0
12057012304,4891,50.1,0.7,5.53,0.63711989517835,1.0,0.00020445716622367614
12033003203,4890,45.6,3.7,11.18,3.800388412242626,1.0,0.0010224948875255625
12103025014,4890,77.2,1.0,2.01,0.2707487834959994,0.75,0.0008179959100204499
12103026804,4890,67.6,0.1,4.14,0.4886685360659502,0.3333333333333333,0.0006134969325153375
12085000501,4887,90.8,0.2,1.04,0.16188822514055815,,0.0
12086009504,4887,3.6,0.0,0.0,0.0,0.3333333333333333,0.0006138735420503376
12031013902,4885,58.1,1.4,2.69,0.3999284711954163,,0.0
12086005901,4885,33.8,0.0,0.0,0.0,1.0,0.00020470829068577277
12086008906,4885,36.5,0.0,0.0,0.0,,0.0
12103026912,4881,82.2,1.2,0.0,0.0,,0.0
12099006201,4881,30.7,0.0,0.0,0.0,1.0,0.0002048760499897562
12099004005,4878,27.9,0.2,0.0,0.0,,0.0
12057011521,4878,58.1,0.9,2.63,0.43029180708908793,,0.0
12105012133,4878,61.4,1.2,3.17,0.5362097903725558,,0.0
12086000507,4877,22.2,0.2,0.1,0.016553078303028115,0.14285714285714285,0.0014353085913471396
12086009043,4877,54.0,0.0,0.0,0.0,,0.0
12099005955,4871,89.7,0.7,0.09,0.013258774442023094,,0.0
12103025209,4870,71.5,0.3,1.35,0.11935347284678655,1.0,0.0002053388090349076
12086004000,4867,85.3,1.2,0.0,0.0,0.2857142857142857,0.0014382576535853708
12103022602,4867,79.7,0.2,0.57,0.04644384961471764,1.0,0.0002054653790836244
12099005934,4866,70.8,2.2,0.05,0.006636199168423191,,0.0
12071040302,4864,33.3,1.2,0.0,0.0,,0.0
12086010213,4864,23.9,0.0,0.0,0.0,1.0,0.00020559210526315788
12035060219,4863,76.4,1.5,2.24,0.3851369975130044,,0.0
12057013313,4863,83.5,0.8,3.32,0.5644249101483685,0.5,0.00041126876413736374
12113010506,4861,81.7,0.9,49.51,75.47140849402393,,0.0
12001001817,4860,75.5,1.7,50.62,93.14440934876586,1.0,0.00020576131687242798
12127090807,4860,88.5,1.8,33.52,11.963227808428357,0.0,0.00020576131687242798
12009071349,4860,51.5,5.9,0.0,0.0,,0.0
12011050206,4856,48.5,1.3,0.0,0.0,,0.0
12035060105,4855,89.3,0.4,3.04,0.42567902983048894,,0.0
12019030600,4852,61.4,0.2,15.35,3.380916434048228,0.3333333333333333,0.0006183017312448475
12095017011,4850,37.5,1.2,0.72,0.21638798298768774,0.0,0.0004123711340206186
12011042501,4850,65.4,0.0,0.0,0.0,1.0,0.0004123711340206186
12086001103,4849,18.3,2.1,0.0,0.0,,0.0
12099006604,4848,37.8,0.2,0.0,0.0,0.0,0.00020627062706270627
12117021505,4848,74.8,1.8,0.23,0.029973773347970835,0.5,0.00041254125412541255
12091023305,4847,75.2,0.3,2.35,0.5829436147999555,,0.0
12011110339,4844,46.7,3.3,0.0,0.0,,0.0
12011070325,4841,34.7,0.0,0.01,0.003335234987972242,0.5,0.0004131377814501136
12011090304,4841,45.3,0.0,0.0,0.0,1.0,0.0002065688907250568
12103027320,4839,74.1,0.1,4.79,1.1978442353919676,0.5,0.0004133085348212441
12057011708,4838,70.2,0.0,0.05,0.006674606273986616,,0.0
12099007741,4838,72.0,0.9,0.0,0.0,1.0,0.00020669698222405952
12099005926,4837,76.8,0.3,0.0,0.0,,0.0
12103027207,4837,89.6,0.7,0.47,0.06342186871174257,1.0,0.0002067397146991937
12095016513,4836,45.7,0.9,2.78,0.514157232593701,0.5,0.00041356492969396195
12011010609,4835,43.3,2.6,0.0,0.0,0.5,0.0004136504653567735
12117020905,4832,59.9,1.5,0.84,0.18043814551857942,1.0,0.00020695364238410596
12099001003,4832,57.8,1.2,0.0,0.0,,0.0
12127080901,4831,64.3,4.6,4.21,0.5113472374759604,1.0,0.00020699648105982198
12081002020,4827,87.5,1.9,2.73,9.05132197902412,,0.0
12011070315,4826,58.3,0.2,0.0,0.0,0.5,0.0008288437629506838
12065250200,4826,66.1,0.5,36.62,1188.488111956172,,0.0
12095016100,4821,82.6,0.7,4.08,0.48561533367188875,0.0,0.00020742584526031943
12057013924,4819,43.6,0.7,0.67,0.08711199149120445,0.5,0.0004150238638721727
12011060603,4819,52.4,0.3,0.0,0.0,0.5,0.0004150238638721727
12086001104,4817,51.9,0.0,0.07,0.006703704619793906,0.5,0.00041519618019514223
12057006801,4816,83.9,1.5,0.0,0.0,1.0,0.00020764119601328904
12099004012,4816,53.2,1.8,0.0,0.0,,0.0
12011070209,4815,75.6,0.0,4.37,0.7846592280301201,0.5,0.0004153686396677051
